user_id,article_1,article_2,article_3,article_4,article_5
200058,206785,289003,336254,331116,157478
200059,218028,336254,157478,202355,289003
200060,59057,133160,31836,303180,214206
200061,336220,289090,277492,337192,234267
200062,225019,140615,336223,361742,119193
200063,141004,161801,214283,270799,62567
200064,199198,64329,198659,156560,166581
200065,14394,16470,63307,141004,62567
200066,336223,59057,48403,270229,31836
200067,64409,156964,235870,235616,300082
200068,96214,235616,97459,95716,59681
200069,277107,39894,352979,289003,30389
200070,199198,272143,64329,182513,156560
200071,31540,57748,50504,158882,107305
200072,59057,31836,303180,336223,31520
200073,336220,277491,235616,337192,235854
200074,161801,63307,31520,141004,235652
200075,293114,284985,123826,124748,124350
200076,336221,234698,300082,293218,42226
200077,272143,156624,156560,160974,160417
200078,199198,182394,324823,64329,224658
200079,336254,331116,157478,97530,285849
200080,255747,255007,254414,256026,255821
200081,336221,234698,157076,42226,355159
200082,156560,162765,272143,160417,158536
200083,245161,96210,50504,158882,285377
200084,331116,289003,157478,277107,39894
200085,336223,288271,288320,288260,59057
200086,123289,124748,124194,123826,284985
200087,331116,157478,289003,57966,97530
200088,156560,162765,272143,160417,158536
200089,331116,289003,277107,157478,39894
200090,31353,293301,159762,233717,199197
200091,284096,235854,336220,277491,277492
200092,123289,124748,124194,124734,123614
200093,277107,39894,289003,352979,336254
200094,59057,31836,133160,336223,303180
200095,331116,218028,209236,289003,162378
200096,336221,234698,315105,300082,235870
200097,136041,336221,235616,235870,234698
200098,277107,289003,336254,331116,206415
200099,236610,285377,96210,271262,284773
200100,336245,96210,20691,288440,162139
200101,235616,336220,42226,42353,360884
200102,293301,257291,233717,285719,202493
200103,235854,234267,235616,234269,234814
200104,293513,159275,245161,166129,70215
200105,32082,29953,336221,234698,336220
200106,206785,289003,202355,336254,157478
200107,42225,42770,161580,42475,57748
200108,336245,20691,337441,288440,284583
200109,300128,298310,300473,300470,272143
200110,293062,338340,284985,124749,293114
200111,336254,289003,331116,157478,97530
200112,156964,234698,64346,58565,336221
200113,123909,276970,237524,299152,168623
200114,96210,57616,277067,285377,336245
200115,156560,162765,272143,160417,158536
200116,59057,133160,236553,161506,140659
200117,289090,336220,277492,234267,337192
200118,31836,48403,336223,285333,288320
200119,211415,211723,337143,159275,199474
200120,211732,336254,289003,357554,157478
200121,277492,119534,215674,159938,354086
200122,218028,331116,336254,157478,202355
200123,331116,336254,157478,207603,289003
200124,336245,20691,285377,271262,293513
200125,234698,95716,235870,315105,336223
200126,331116,202355,289003,97530,336254
200127,272143,64329,160417,199197,156447
200128,331116,164099,235920,336254,214258
200129,63307,133160,161801,161506,87192
200130,156624,272143,160974,156447,107039
200131,288320,336223,59057,233595,133160
200132,336254,277107,39894,352979,186369
200133,313431,272143,284547,187065,235230
200134,283009,352979,30389,39894,336254
200135,20691,336245,337441,32088,96103
200136,96210,313920,236566,283764,225010
200137,206415,158772,352979,284470,206571
200138,64329,199198,198659,156560,166581
200139,235230,313431,206168,271551,70646
200140,336245,96210,348112,183176,233688
200141,277107,235105,283009,206415,331116
200142,315088,313619,313355,313807,312461
200143,336223,336964,332953,32295,288320
200144,124748,123757,124749,124350,123289
200145,331116,336254,57966,289003,97530
200146,199474,331116,237822,331780,211455
200147,272955,289003,331116,214753,271319
200148,272143,160974,160417,199198,158536
200149,320639,331116,277107,39894,283009
200150,277107,331116,283009,352979,289003
200151,293513,245161,270607,50504,96210
200152,272143,348111,324823,64329,199198
200153,331116,215613,199474,199372,214753
200154,234698,95716,315105,336223,300082
200155,236951,124194,283392,236444,158915
200156,168623,123909,276970,161425,156625
200157,288435,235854,119534,307779,128260
200158,352979,39894,283009,30389,331116
200159,336223,119193,48403,270229,59057
200160,277107,206415,283009,206785,39894
200161,207758,285908,206415,202320,70429
200162,62599,62748,62751,61913,62445
200163,331116,218028,237822,292508,158664
200164,234698,336221,214474,235870,95716
200165,257291,233717,293301,276946,159762
200166,336254,218028,157478,289003,202355
200167,336221,336223,271261,225019,284024
200168,74719,74705,78357,78369,235854
200169,277107,36162,235105,283009,29872
200170,270607,245161,96210,57748,158882
200171,168623,276970,156625,36394,237524
200172,272143,162655,156624,160417,158536
200173,272143,348111,324823,64329,199198
200174,162655,283123,156624,162765,338350
200175,156560,162765,272143,160417,158536
200176,57616,96210,71161,336245,157375
200177,272143,64329,198659,162655,182394
200178,161801,63307,270799,235652,59057
200179,96210,20691,183176,57616,277067
200180,304788,303686,304017,303781,303819
200181,283123,272143,285343,284591,283933
200182,277492,337192,235854,336220,289090
200183,161506,161801,63307,235652,141004
200184,64329,156560,158536,162655,156447
200185,4967,272143,5054,64329,156560
200186,119534,277492,159938,215674,336220
200187,199197,313431,284547,156560,271551
200188,285343,272143,284474,156624,278312
200189,331116,218028,158541,202355,199474
200190,50864,272143,156624,64329,156560
200191,39894,336254,277107,352979,331116
200192,39894,352979,283009,30389,289003
200193,199197,284547,235230,272143,338350
200194,156560,162765,272143,160417,158536
200195,236444,235804,284422,202478,236951
200196,272143,64329,198659,162655,182394
200197,288251,289034,271262,327118,285377
200198,274168,272759,272387,272802,272334
200199,166322,211455,331116,214258,214658
200200,59057,31836,234698,336223,133160
200201,64409,74569,234698,336221,157076
200202,133160,288320,31836,303180,336223
200203,293513,158882,96210,270607,50504
200204,331116,157478,289003,57966,97530
200205,283009,331116,39894,277107,73506
200206,96210,236266,159196,57616,300234
200207,331116,314359,289003,314424,313556
200208,331116,157478,57966,289003,97530
200209,123909,283392,123757,124177,124748
200210,207603,206785,157478,289003,166322
200211,225010,58580,157375,202416,65991
200212,124748,123289,124350,123909,123757
200213,209348,58619,209013,159275,337143
200214,157478,166322,74780,331116,161911
200215,336221,235870,300082,315105,214631
200216,271262,58580,96210,284583,236566
200217,300128,272143,300923,300470,297906
200218,136145,357554,137437,137175,135802
200219,331116,202355,218028,214753,158541
200220,277107,283009,352979,39894,30389
200221,156624,272143,158229,156560,160417
200222,183176,111043,181585,159938,354086
200223,208237,234269,208531,235616,207848
200224,31318,32467,235616,235524,336221
200225,272143,348111,324823,64329,199198
200226,5408,300048,36292,225041,272242
200227,336220,235854,289090,277492,277491
200228,331116,157478,289003,57966,97530
200229,335452,337143,293513,288528,335617
200230,336245,96210,20691,162139,288440
200231,162655,64329,158536,272143,156560
200232,272143,348111,324823,64329,199198
200233,352979,283009,331116,336254,289003
200234,225010,58580,157798,96210,285377
200235,277107,50644,30760,234481,156279
200236,39894,277107,50405,70429,283009
200237,235616,29953,336221,234698,32082
200238,160132,111210,276946,257291,42883
200239,284096,235854,336220,277492,289090
200240,156447,156560,162765,160146,156624
200241,272143,64329,285648,199198,160417
200242,123909,124748,123757,124177,283392
200243,124749,158906,293114,272218,96755
200244,108855,286321,233717,160131,284410
200245,331116,289003,157478,57966,97530
200246,236610,96210,284773,285377,20691
200247,272143,64329,198659,162655,182394
200248,199198,64329,198659,156560,162655
200249,161506,141004,161801,264771,70830
200250,270976,273157,277492,336220,271236
200251,272143,199198,166581,324823,224658
200252,166322,157478,289003,214258,237385
200253,50644,211442,277107,30760,156279
200254,277492,337192,235854,336220,288435
200255,236610,194289,96210,20691,236596
200256,336220,160940,235616,234698,284985
200257,352979,39894,30389,283009,331116
200258,331116,202355,289003,336254,97530
200259,236610,96210,20691,194289,336245
200260,337873,58939,73413,199198,156560
200261,235616,234698,336221,236338,237442
200262,285648,285343,272143,285298,156560
200263,236610,194289,336245,20691,271262
200264,283009,289003,336254,285849,331116
200265,272143,158536,160974,199198,160417
200266,234698,336221,235870,156964,31836
200267,336254,218028,202355,289003,57966
200268,168623,276970,123909,320767,319519
200269,272143,162655,118753,160974,156560
200270,156560,156447,162765,160146,158536
200271,96210,20691,336245,96103,284583
200272,277491,337192,336220,289090,235854
200273,272143,198659,64329,162655,182394
200274,272143,160974,160417,199198,158536
200275,234698,95716,315105,119193,336223
200276,202355,202559,331116,218028,214753
200277,15863,58235,331116,292594,199372
200278,331780,206763,160748,199474,208981
200279,235616,29953,336221,234698,234269
200280,86699,105950,204992,314526,311902
200281,336245,20691,288440,337441,32088
200282,324393,323926,323781,325175,324149
200283,123909,182513,336476,156624,25325
200284,59057,288320,133160,336223,31836
200285,336254,331116,97530,285849,283009
200286,331116,336254,157478,289003,97530
200287,181585,119534,128260,111043,159938
200288,300470,160974,272143,16129,156560
200289,65991,271262,96210,202416,58580
200290,277107,206785,283009,202320,202381
200291,36161,272143,199198,64329,2303
200292,234698,336221,95716,300082,288321
200293,234698,336221,214474,235870,277491
200294,42761,42757,284547,156619,158192
200295,100918,38455,234698,95716,336223
200296,355163,355155,355169,355168,58580
200297,48962,48605,48644,48064,49101
200298,218028,336254,202355,57966,289003
200299,183176,208360,202388,159938,224354
200300,272143,182394,199198,224658,13811
200301,96210,20691,271262,293513,158882
200302,183176,284339,181585,119534,111043
200303,111663,111323,111556,111681,277107
200304,235854,289090,277491,235616,277492
200305,293114,124748,123909,123826,293050
200306,313242,313619,313807,323949,293062
200307,283009,50494,73506,277107,363916
200308,199198,272143,64329,182513,156560
200309,97108,289090,96817,95716,96386
200310,156560,162765,272143,160417,158536
200311,145259,142292,161801,63307,70830
200312,208473,225124,206315,5387,205052
200313,331116,202355,215613,199372,214753
200314,162655,64329,158536,272143,160974
200315,277107,39894,283009,235105,331116
200316,58580,236566,225010,313920,96210
200317,336221,315105,235870,95716,336223
200318,63307,87232,202308,87224,87228
200319,343256,293513,168564,206763,288528
200320,96210,57616,336245,20691,157375
200321,272143,64329,198659,162655,182394
200322,297959,300234,271262,96210,300884
200323,336254,97530,57966,331116,218028
200324,162655,158536,64329,272143,160974
200325,272143,156560,160974,156447,166585
200326,245161,270607,158882,96210,50504
200327,289090,234267,235616,235854,277491
200328,96210,32088,336245,20691,288440
200329,199198,156560,64329,182513,299697
200330,324823,7694,198659,156560,64329
200331,206785,289003,331116,336254,157478
200332,277492,337192,235854,284096,288435
200333,336245,288548,9308,20691,316300
200334,208237,234269,207848,235616,208531
200335,351876,199372,352727,352673,331116
200336,234698,336221,214474,235870,300082
200337,156560,162765,272143,160417,158536
200338,234269,235616,208237,207963,208531
200339,245702,245181,245161,337143,245128
200340,313434,69778,360990,361894,362354
200341,293301,233717,257291,156654,166377
200342,83472,261756,48525,30969,195029
200343,62446,36162,277107,362914,235105
200344,124749,161506,141004,293050,235652
200345,50864,272143,156624,156560,64329
200346,354086,336220,277492,289090,234267
200347,156560,272143,158536,162765,284547
200348,336245,288440,271262,96210,293513
200349,96210,57616,313920,277067,236610
200350,96210,277067,283764,157375,284583
200351,57966,157478,289003,97530,331116
200352,336245,156296,57748,234269,50504
200353,158646,276946,357838,214800,257291
200354,156843,235854,36399,158719,336220
200355,283009,39894,352979,30389,331116
200356,336245,96210,111043,233688,20691
200357,272143,156560,96960,95743,96481
200358,289090,277491,235616,235854,337192
200359,218028,336254,270473,265396,272955
200360,277107,50494,283009,159192,39894
200361,348111,272143,199198,156624,156560
200362,183176,181585,284339,128260,159938
200363,272143,64329,199198,324823,166581
200364,158882,50504,31540,57748,161580
200365,293513,270607,168416,96210,57748
200366,156560,162765,272143,160417,158536
200367,331116,202355,215613,214753,199372
200368,36162,211442,209122,211732,156279
200369,293513,362272,285377,96210,16087
200370,234698,95716,235870,315105,300082
200371,162765,272143,156447,199197,158536
200372,336476,348111,156560,156624,272143
200373,272143,199197,235230,158536,156624
200374,183176,156839,156843,159938,119534
200375,331116,218028,157478,289003,336254
200376,234698,336221,300082,235870,277491
200377,199198,64329,198659,156560,166581
200378,284096,277492,235854,336220,288435
200379,237822,199474,107302,234281,168564
200380,119534,277492,336220,215674,159938
200381,235616,32082,129520,336221,234698
200382,348111,272143,199198,336476,156624
200383,20691,96210,336245,96103,183176
200384,277107,362914,237385,96062,283009
200385,245161,270607,288528,293514,57748
200386,336221,234698,162765,156560,158536
200387,235616,234269,29953,336221,352902
200388,293114,124748,123909,96755,123826
200389,293513,336245,50504,156296,96210
200390,16132,14868,272143,16129,16197
200391,50864,348111,272143,156560,160417
200392,261612,273309,272143,7694,187067
200393,336245,20691,337441,288440,32088
200394,39894,352979,30389,283009,331116
200395,96210,284583,271262,236610,20691
200396,277492,284096,289090,288435,128260
200397,156355,214474,129434,336380,108856
200398,277492,354086,336220,337192,128260
200399,272143,156560,160974,156447,166585
200400,65896,65964,156560,61611,321612
200401,336223,119193,352983,174500,48403
200402,123289,58891,95977,182256,283392
200403,235616,336221,289090,235524,234698
200404,331116,336254,157478,97530,289003
200405,234698,235870,336221,300082,58565
200406,183176,235854,277492,288435,128260
200407,272143,160974,160417,199198,158536
200408,331116,39894,283009,277107,336254
200409,156622,107151,233717,160132,285435
200410,39894,331116,336254,277107,352979
200411,207975,207758,277107,235105,159927
200412,199197,284547,272143,338350,235230
200413,234698,336221,156964,95716,64409
200414,271262,58580,96210,236610,284583
200415,289090,277491,235854,234267,235616
200416,352063,352264,234698,336221,352983
200417,336221,234698,300082,157076,336223
200418,199198,64329,198659,156560,162655
200419,96210,236610,194289,20691,313920
200420,235854,36399,336220,337192,289090
200421,331116,202559,202355,255354,199372
200422,336220,277491,235616,235854,337192
200423,277491,336220,307779,354086,289090
200424,286336,272143,162655,282785,283041
200425,288528,293513,199474,96241,57748
200426,158179,336254,331116,141230,157478
200427,119193,336223,141334,140659,87174
200428,336254,157478,331116,97530,285849
200429,277491,336220,235854,288435,289090
200430,348093,285533,183176,9308,348109
200431,336221,234698,300082,235870,234813
200432,156964,234698,336221,64346,58565
200433,183176,159938,336220,307779,277492
200434,48403,119193,59057,31836,288320
200435,199198,198659,166581,156560,162655
200436,362914,336254,331116,157478,289003
200437,161506,161801,141004,264771,270799
200438,64409,234698,235870,235616,336221
200439,272143,162655,156624,160417,158536
200440,352979,283009,30389,39894,331116
200441,277492,337192,235854,284096,336220
200442,50864,272143,156624,64329,156560
200443,293114,124749,96755,284985,160158
200444,199198,64329,198659,156560,162655
200445,234698,336221,235870,156964,214631
200446,331116,157478,57966,289003,218028
200447,272143,64329,198659,162655,182394
200448,65991,271262,202416,96210,58580
200449,205824,50644,70986,205958,36162
200450,331116,157478,57966,289003,97530
200451,272143,69736,66206,70036,65373
200452,352979,39894,30389,283009,331116
200453,289090,234267,235616,277491,235854
200454,235105,57523,74665,277107,158772
200455,272143,348111,324823,64329,199198
200456,336221,234698,214631,277491,300082
200457,336254,157478,331116,97530,285849
200458,68696,65468,156807,159019,283009
200459,336221,315105,95716,300082,214631
200460,336221,234698,300082,157076,74569
200461,272143,162655,156624,160417,158536
200462,211723,96210,284583,157375,20691
200463,288320,336223,59057,133160,233595
200464,331116,277107,352979,39894,283009
200465,119534,128260,181585,111043,233688
200466,293465,352280,100556,213913,217681
200467,272143,272934,273572,273394,271981
200468,336476,348111,272143,199198,156624
200469,96210,71161,57616,157375,336245
200470,236566,313920,225010,283764,236610
200471,284583,96210,271262,313920,58580
200472,336380,156355,128551,108856,83534
200473,352979,39894,30389,331116,283009
200474,183176,128260,277492,354086,119534
200475,277492,235854,337192,336220,289090
200476,235652,63307,161506,31520,71035
200477,233717,111210,58606,42883,233478
200478,39894,283009,352979,30389,336254
200479,124748,123757,123290,124352,157844
200480,58580,96210,313920,236566,225010
200481,272143,156560,182513,199198,348111
200482,272143,140324,122117,121637,162655
200483,336221,235870,156964,300082,315105
200484,209653,87696,63307,87236,87228
200485,336221,315105,300082,235870,95716
200486,272143,64329,198659,162655,182394
200487,164099,336254,331116,235920,289003
200488,156560,162765,272143,160417,158536
200489,289090,336220,235616,277491,234269
200490,225010,271262,58580,202476,283764
200491,58619,208970,209348,205869,337143
200492,64409,58565,336221,235616,234698
200493,50494,39894,277107,283009,289003
200494,183176,284339,111043,181585,129799
200495,166322,289003,199372,331116,157478
200496,39894,30389,283009,331116,289003
200497,234698,336221,214474,336223,235870
200498,289090,277491,235616,235854,336220
200499,234698,95716,235870,315105,336223
200500,96210,194289,293513,336245,16087
200501,271262,96210,283764,236566,284583
200502,272143,162655,156624,160417,158536
200503,331116,157478,57966,289003,218028
200504,293513,96210,270607,168416,336934
200505,289090,277491,235616,337192,235854
200506,96210,57616,20691,285377,277067
200507,293114,124748,284985,123909,156355
200508,128551,235616,336221,31520,336223
200509,336254,218028,157478,57966,202355
200510,272143,64329,198659,162655,182394
200511,336254,218028,202355,157478,289003
200512,96210,194289,20691,284773,284583
200513,234698,95716,235616,235870,64409
200514,285648,272143,64329,175040,156624
200515,162655,64329,158536,272143,160974
200516,293050,123826,96480,124176,336314
200517,237580,300234,202476,66672,20691
200518,157478,331116,97530,57966,285849
200519,336223,225019,48403,129165,119193
200520,214800,111210,160132,233478,276946
200521,355163,157375,355168,355175,336245
200522,199198,272143,198659,64329,162655
200523,255667,254899,255741,255970,254856
200524,277492,337192,235616,235854,288435
200525,331116,336254,157478,289003,207603
200526,96210,293513,194289,336245,270607
200527,272143,47999,48852,199198,47696
200528,289090,277491,235616,235854,337192
200529,331116,336254,157478,289003,97530
200530,272143,156560,160974,156447,166585
200531,331116,215613,158541,214753,209236
200532,156279,158158,70429,36162,277107
200533,199198,64329,198659,156560,162655
200534,161100,156622,158646,233717,285435
200535,42693,42437,42883,257291,293301
200536,272143,156624,162655,158536,156447
200537,220345,168623,161425,233420,276970
200538,277107,352979,39894,283009,331116
200539,208562,183176,283505,233688,111043
200540,277107,95868,95531,58793,95688
200541,336220,289090,235616,277491,235854
200542,336254,331116,57966,289003,97530
200543,277107,331116,336254,289003,157478
200544,336245,233742,96210,183176,20691
200545,236444,124194,207797,236951,284422
200546,336245,20691,337441,284583,57616
200547,162655,64329,158536,272143,160974
200548,277107,331116,352979,283009,336254
200549,272143,162655,156447,158536,160417
200550,285343,272143,284474,156624,278312
200551,336220,277491,235616,337192,235854
200552,277107,352979,283009,336254,289003
200553,57748,202652,70215,293513,159943
200554,168623,276970,156625,95972,237524
200555,277107,352979,283009,331116,289003
200556,293301,276970,123909,237524,159762
200557,272143,156624,182253,202383,181583
200558,235616,352902,235524,336221,336220
200559,36161,199198,64329,272143,313431
200560,336254,177442,331116,157478,289003
200561,198659,199198,64329,156560,162655
200562,234698,336221,235870,234813,95716
200563,331116,202355,158541,215613,199372
200564,30760,277107,50644,36162,156279
200565,234698,336221,235870,234813,31836
200566,272218,301030,338339,124749,293114
200567,64409,234698,235870,336221,300082
200568,159943,162107,168784,168416,156296
200569,156560,162765,272143,160417,158536
200570,59057,133160,288320,233595,30611
200571,331116,218028,209236,336254,289003
200572,96210,20691,96244,288440,157375
200573,336220,277491,337192,234267,235616
200574,336221,235870,235616,289090,336220
200575,159190,336221,42770,211415,235616
200576,64409,234698,235870,300082,336221
200577,199197,313431,284547,156560,206934
200578,272143,198659,64329,162655,182394
200579,225010,58580,271262,283764,202476
200580,336221,235870,235616,336220,289090
200581,199198,64329,198659,156560,162655
200582,59423,59156,336254,277107,39894
200583,50864,272143,156624,64329,156560
200584,362914,118348,118286,336254,157478
200585,277492,336220,354086,284096,289090
200586,124748,124350,338340,123289,123909
200587,199474,237822,209236,208582,208981
200588,283009,277107,336254,39894,331116
200589,331116,87213,87194,202355,218028
200590,271262,96210,285377,285675,225010
200591,331116,157478,97530,283791,289003
200592,336245,20691,271262,58580,284583
200593,195034,195243,194561,194406,331116
200594,124748,124194,123909,124352,123757
200595,202370,36162,205824,206415,70758
200596,202320,206785,283009,39894,207603
200597,336254,218028,202355,289003,157478
200598,336220,289090,235854,235616,277491
200599,123757,124177,123909,123290,124194
200600,106015,117795,76268,74558,74585
200601,36161,348111,272143,2303,199198
200602,199198,64329,198659,156560,162655
200603,277492,119534,336220,215674,354086
200604,354086,277492,128260,337192,336220
200605,199198,64329,198659,156560,162655
200606,277107,39894,352979,289003,336254
200607,225124,172576,124177,172993,123757
200608,207603,157478,331116,289003,336254
200609,277491,336220,235854,284096,288435
200610,272143,199198,166581,324823,285343
200611,272143,199198,175040,166581,162655
200612,156560,162765,272143,160417,158536
200613,352979,39894,30389,283009,289003
200614,293301,214800,159762,257291,160132
200615,336221,336223,234698,271261,129591
200616,336254,331116,207603,157478,289003
200617,331116,336254,158541,289003,157478
200618,273157,336220,235854,271705,270677
200619,161506,31520,141004,235652,235525
200620,199198,64329,198659,156560,162655
200621,272143,348111,324823,64329,199198
200622,123909,283392,123757,284422,124177
200623,165989,336245,96586,96210,236610
200624,199197,156560,96077,272143,285298
200625,156447,158536,156560,162655,64329
200626,235616,235524,336221,352902,336220
200627,199938,124749,208430,70033,70036
200628,336245,288440,337441,57616,32088
200629,297885,313995,337735,272218,284985
200630,96210,288440,336245,57616,159529
200631,20691,271262,285377,293513,336245
200632,348112,348089,183176,285533,336245
200633,183176,235854,277492,119534,288435
200634,32082,29953,336220,336221,234698
200635,337735,284985,313996,158906,124749
200636,15653,20691,96103,336245,96210
200637,183176,326936,336220,289090,277492
200638,331116,336254,57966,289003,97530
200639,211415,235854,284096,277492,211722
200640,162655,64329,158536,272143,160974
200641,336254,331116,207603,277107,289003
200642,195804,156560,272143,156624,198659
200643,183176,235854,277492,288435,119534
200644,199372,168838,336254,303528,331116
200645,16087,331564,336245,293513,96210
200646,156560,162765,272143,160417,158536
200647,277107,36162,50644,206415,234308
200648,199474,107302,206763,293513,157774
200649,123289,208473,209200,235804,235430
200650,277107,324685,177442,315104,39894
200651,111043,336245,128260,119534,233688
200652,272218,338339,235689,284985,140528
200653,331116,277107,283009,234195,336254
200654,124748,123757,123290,124352,124228
200655,272143,162655,307856,42422,300470
200656,277107,283009,157478,202320,363916
200657,336380,156355,128551,108856,83534
200658,183176,159938,277492,128260,235854
200659,168681,58580,35785,49246,50480
200660,336220,277492,289090,284096,354086
200661,156560,162765,272143,160417,158536
200662,39894,336254,352979,283009,331116
200663,336254,277107,289003,36162,211442
200664,95716,48403,119193,271261,315105
200665,96210,271262,57616,20691,336245
200666,352555,272143,261612,199198,198659
200667,168623,208145,286321,108855,208048
200668,336220,289090,277492,337192,234267
200669,234698,336221,157076,300082,293218
200670,159195,48401,159192,158541,288827
200671,336254,157478,289003,331116,285849
200672,73413,277107,73271,283009,331116
200673,124748,124228,123290,123818,124352
200674,331116,289003,157478,57966,97530
200675,277492,119534,215674,336220,235854
200676,157798,149695,157989,16087,65991
200677,272143,160974,160417,199198,158536
200678,194923,96210,20691,183176,357657
200679,182023,257291,234997,233717,236478
200680,199198,272143,64329,182513,156560
200681,162248,157478,289003,336254,331116
200682,277107,352979,283009,42285,289003
200683,183176,233688,283505,215993,336245
200684,284583,96210,271262,57616,20691
200685,236951,124194,284422,236444,157844
200686,123909,299152,124194,276970,285379
200687,348112,285533,183176,348109,336245
200688,331116,157478,57966,289003,97530
200689,96210,74722,74702,78367,336245
200690,234698,95716,235870,315105,336223
200691,331116,283009,50494,336254,39894
200692,57475,235616,336220,284096,234269
200693,50644,234308,36162,277107,205824
200694,235854,337192,284096,183176,336220
200695,277492,119534,215674,336220,354086
200696,96210,57616,277067,20691,336245
200697,336245,20691,337441,288440,32088
200698,289090,336220,277492,235616,337192
200699,272143,64329,198659,162655,182394
200700,76431,162012,123289,162351,198817
200701,352979,277107,289003,336254,235105
200702,272143,187065,156560,64329,235230
200703,331116,157478,57966,289003,97530
200704,331116,215613,202355,293155,292508
200705,128260,183176,336220,277492,354086
200706,59057,133160,288320,336223,31836
200707,331116,277492,218028,336254,202355
200708,336220,277491,183176,235854,234267
200709,129434,198199,348113,83534,123756
200710,272143,199198,156560,348111,64329
200711,199198,198659,166581,156560,162655
200712,235616,42226,32082,234698,42770
200713,95716,315105,288325,336223,59057
200714,336245,20691,271262,285377,194289
200715,283009,277107,336254,39894,331116
200716,283009,336254,39894,277107,157478
200717,331116,199372,202355,218028,96141
200718,50494,70429,218355,73506,363916
200719,3241,272143,5258,64329,3464
200720,336220,289090,277492,284096,234267
200721,331116,336254,157478,289003,283791
200722,272218,128957,140528,338339,128879
200723,293513,362272,50504,225010,271262
200724,331116,214753,161878,24767,218028
200725,336245,96210,271262,264523,58580
200726,156560,162765,272143,160417,64329
200727,277491,336220,354086,235854,337192
200728,156964,336221,235870,64409,214631
200729,363916,119189,218355,157478,50494
200730,331738,198144,157844,123757,124177
200731,144330,299912,327093,249540,190173
200732,162655,64329,158536,272143,160974
200733,336223,59057,288320,119193,233595
200734,277491,354086,289090,277492,234267
200735,277491,288435,119534,336220,235854
200736,181274,182575,183176,181893,20691
200737,218028,336254,202355,157478,57966
200738,39894,352979,283009,30389,336254
200739,331116,158541,157478,336254,202355
200740,233717,285095,284452,160132,286161
200741,50864,272143,156624,64329,156560
200742,234698,95716,300082,315105,336223
200743,156560,162765,272143,160417,158536
200744,156560,162765,272143,160417,158536
200745,348111,272143,199198,156560,156624
200746,284985,158536,160158,160940,156355
200747,156560,158536,160417,162765,64329
200748,298978,161580,58619,159275,157774
200749,277492,119534,336220,288435,215674
200750,225124,30329,36208,32489,284422
200751,124194,236444,284422,36394,206315
200752,331116,158541,353633,199372,351875
200753,220471,331116,277107,30389,39894
200754,331116,336254,57966,97530,218028
200755,162655,64329,158536,272143,160974
200756,233742,183176,336245,236552,236512
200757,277492,183176,336220,354086,128260
200758,293513,50504,96210,285377,245161
200759,272143,156560,96960,95743,96481
200760,272143,64329,199198,324823,166581
200761,331116,202355,202559,207603,205845
200762,272143,348111,182513,156560,199198
200763,336245,96210,288440,284583,285377
200764,234698,95716,235870,214474,277491
200765,199198,166581,175040,158536,198659
200766,331116,157478,289003,57966,97530
200767,283791,289003,331116,157478,57966
200768,58333,235854,200016,277492,199916
200769,277107,352979,283009,331116,336254
200770,336254,331116,57966,289003,97530
200771,50864,272143,156624,64329,156560
200772,57748,59002,58043,59382,58791
200773,96210,32088,284583,336245,57616
200774,336220,289090,277492,284096,337192
